date,day,row,tree,panonychus_1,bryobia_1,tetranychus_1,predatory_1,panonychus_2,bryobia_2,tetranychus_2,predatory_2,panonychus_3,bryobia_3,tetranychus_3,predatory_3,panonychus_4,bryobia_4,tetranychus_4,predatory_4,panonychus_5,bryobia_5,tetranychus_5,predatory_5,panonychus_6,bryobia_6,tetranychus_6,predatory_6,panonychus_7,bryobia_7,tetranychus_7,predatory_7,panonychus_8,bryobia_8,tetranychus_8,predatory_8,panonychus_9,bryobia_9,tetranychus_9,predatory_9,panonychus_10,bryobia_10,tetranychus_10,predatory_10
05/06/2023,13,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,18,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,18,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,18,65,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
05/06/2023,13,17,5,0,3,3,3,0,7,0,3,0,7,0,0,0,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,0,0,0,3,3,0,0
05/06/2023,13,17,20,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,3,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0
05/06/2023,13,17,35,0,0,3,0,0,0,3,0,0,0,7,10,0,0,3,3,0,3,3,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,3,0,3
05/06/2023,13,17,50,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,15,5,3,0,3,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,15,20,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,15,35,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
05/06/2023,13,15,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,3,0,0,0,0,0,0,3,3,0,0,0
05/06/2023,13,12,2,3,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,3,3,,3
05/06/2023,13,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,12,50,0,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
05/06/2023,13,12,65,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
05/06/2023,13,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0
05/06/2023,13,10,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
05/06/2023,13,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,8,5,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0
05/06/2023,13,8,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0
05/06/2023,13,8,36,3,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,8,42,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0
05/06/2023,13,8,48,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,6,2,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0
05/06/2023,13,6,15,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
05/06/2023,13,6,30,0,3,3,0,3,3,0,0,3,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,7,,,
05/06/2023,13,6,45,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,3,0,0,7,0,0,0,0,0,0,0,3,0,0,3
05/06/2023,13,6,52,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
05/06/2023,13,19,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,19,20,0,0,10,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,19,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,19,47,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,19,60,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,16,1,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,16,15,3,3,3,0,3,0,0,3,3,3,3,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3,3,0,0
05/06/2023,13,16,31,0,3,3,0,0,0,10,0,3,0,10,3,0,0,7,3,3,0,0,0,3,3,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3
05/06/2023,13,16,45,3,0,10,0,0,0,10,0,3,0,7,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,7,0,7,7,10,0,7,3,0,0,0,0,7,0
05/06/2023,13,16,60,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0
05/06/2023,13,14,5,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,3,3,0,0,0,0,0
05/06/2023,13,14,36,0,0,7,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,7,0
05/06/2023,13,14,50,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,3,0
05/06/2023,13,14,66,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0
05/06/2023,13,13,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,13,15,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
05/06/2023,13,13,35,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
05/06/2023,13,14,50,0,0,0,0,0,3,10,0,0,0,10,0,0,0,7,0,0,0,10,0,0,3,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0
05/06/2023,13,14,65,0,3,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0
05/06/2023,13,11,15,0,0,10,0,0,0,3,0,0,0,3,0,7,0,3,0,0,0,0,0,3,3,7,0,3,0,10,0,3,3,3,0,0,0,0,0,0,0,7,0
05/06/2023,13,11,31,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
05/06/2023,13,11,45,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,10,0
05/06/2023,13,11,67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,3,3,0
05/06/2023,13,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0
05/06/2023,13,9,21,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0
05/06/2023,13,9,35,0,0,0,0,0,0,10,0,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,9,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,9,64,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,7,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,7,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,3,3,0,0
05/06/2023,13,7,19,10,3,0,0,10,0,0,0,10,3,0,0,7,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,3,0,0,10,0,0,0,10,3,0,0
05/06/2023,13,7,30,7,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,10,0,0,0,10,3,0,0,3,3,3,0,7,0,0,0,7,0,0,0
05/06/2023,13,7,44,7,0,0,0,7,3,0,0,7,0,0,3,0,0,0,0,10,3,0,0,10,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,0,3,0,0
05/06/2023,13,5,5,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,5,20,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0
05/06/2023,13,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,5,50,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
05/06/2023,13,5,65,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
05/06/2023,13,4,8,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
05/06/2023,13,4,20,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
05/06/2023,13,4,36,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,0,0
05/06/2023,13,4,50,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
05/06/2023,13,4,66,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0
05/06/2023,13,3,4,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
05/06/2023,13,3,35,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
05/06/2023,13,3,50,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,3,65,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0
05/06/2023,13,1,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,1,61,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,2,15,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
05/06/2023,13,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,2,46,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,2,60,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0