date,tree,day,row,inner_1_panonychus,inner_1_bryobia,inner_1_tetranychus,inner_1_predatory,inner_1_tetra_egg,inner_1_predator_egg,inner_1_pan_egg,inner_2_panonychus,inner_2_bryobia,inner_2_tetranychus,inner_2_predatory,inner_2_tetra_egg,inner_2_predator_egg,inner_2_pan_egg,inner_3_panonychus,inner_3_bryobia,inner_3_tetranychus,inner_3_predatory,inner_3_tetra_egg,inner_3_predator_egg,inner_3_pan_egg,inner_4_panonychus,inner_4_bryobia,inner_4_tetranychus,inner_4_predatory,inner_4_tetra_egg,inner_4_predator_egg,inner_4_pan_egg,inner_5_panonychus,inner_5_bryobia,inner_5_tetranychus,inner_5_predatory,inner_5_tetra_egg,inner_5_predator_egg,inner_5_pan_egg,outer_1_panonychus,outer_1_bryobia,outer_1_tetranychus,outer_1_predatory,outer_1_tetra_egg,outer_1_predator_egg,outer_1_pan_egg,outer_2_panonychus,outer_2_bryobia,outer_2_tetranychus,outer_2_predatory,outer_2_tetra_egg,outer_2_predator_egg,outer_2_pan_egg,outer_3_panonychus,outer_3_bryobia,outer_3_tetranychus,outer_3_predatory,outer_3_tetra_egg,outer_3_predator_egg,outer_3_pan_egg,outer_4_panonychus,outer_4_bryobia,outer_4_tetranychus,outer_4_predatory,outer_4_tetra_egg,outer_4_predator_egg,outer_4_pan_egg,outer_5_panonychus,outer_5_bryobia,outer_5_tetranychus,outer_5_predatory,outer_5_tetra_egg,outer_5_predator_egg,outer_5_pan_egg,Antlion,Stethorus
09/07/2023,1_2,47,1,0,,,,,,,,,,1,,,,0,,,,,,,0,,,1,,,,0,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,
09/07/2023,1_17,47,1,,0,,3,,,,0,,,,,,,0,,,2,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
09/07/2023,1_29,47,1,0,,,,,,,0,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,1,,,,0,,,,,,,,
09/07/2023,1_46,47,1,0,,,,,,,,,,1,,,,0,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,
09/07/2023,1_61,47,1,1,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,4,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,yes,
09/07/2023,2_15,47,2,,,,1,,,,,,,4,,,,,1,,2,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,,
09/07/2023,2_2,47,2,0,,,,,,,0,,,,,,,0,,,,,,,,,,2,,2,,,,,,,,1,,2,,0,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,
09/07/2023,2_31,47,2,,,4,5,,,,0,,,,,,,0,,,,,,,,,,1,,,,0,,,,,,,,,,5,,,,0,,,,,,,,,,1,,,,,,,1,,1,,0,,,,,,,,
09/07/2023,2_46,47,2,0,,,,,,,0,,,,,,,,,,2,,,,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,1,,1,,,,1,,,,,,,0,,,,,,,,
09/07/2023,2_60,47,2,,,,5,,,,0,,,,,,,0,,,,,,,,,2,,,,,0,,,1,,,,0,,,,,,,,,,1,,,,,,,3,,,,1,,,1,,,,2,,,1,,,,,
09/07/2023,3_20,47,3,1,1,,1,,,,,1,,,,,,0,,,,,,,,1,,5,,,,,,,4,,,,,1,,1,,,,,,,1,,,,,,,2,,,,,,,0,,,,0,,,,,,,,
09/07/2023,3_35,47,3,,,,4,,,,,,,4,,3,,,1,,,,,,,3,,4,,,,0,,,,,,,1,,,,,,,1,,,1,,,,10,,,1,,,,,,,2,,5,,2,,,,,,,,
09/07/2023,3_4,47,3,,,,1,,,,0,,,,,,,,,,,,1,,,,2,,,,,0,,,,,,,,,,1,,,,0,,,,,,,,,,4,,,,0,,,,,,,0,,,,,,,,
09/07/2023,3_50,47,3,0,,,,,,,,,,3,,,,,,,,,2,,,,,2,,,,1,,,,,,,,,,1,,,,,,,5,,,,,,,4,,10,,,,,2,,30,,,,,1,,10,,,
09/07/2023,3_65,47,3,0,,,1,,,,1,,,3,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,5,,1,,,,,5,,0,,,,,,,,,,2,,5,,,,,3,,,,yes,
09/07/2023,4_20,47,4,0,,,,,,,,,,3,,,,0,,,,,,,0,,,,,,,,,,1,,,,1,,,1,,10,,,,,2,,5,,2,,,,,5,,5,,,1,,,,2,,,1,,,,yes,
09/07/2023,4_36,47,4,0,,,,,,2,0,,,,,,,,,,1,,,,,,,,,2,,,,,1,3,,,,,,3,,5,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,5,,,
09/07/2023,4_50,47,4,,,,2,,,,,,,2,,,,,,,1,,,,,,,,,4,,0,,,,,,,,,,,,10,,,,,4,,5,,,,,3,,,,,,,1,,,,0,,,,,,,,
09/07/2023,4_66,47,4,0,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,5,,,,,,,1,,5,,,,,1,,10,,,,,1,,20,,,,,1,,10,,,,,2,,10,,,
09/07/2023,4_8,47,4,0,,,,,,,,,,1,,,,0,,,,,,,,,,,,5,,0,,,,,,,0,,,,,,,,,0,,,5,,1,,,,,,,0,,,,,,,1,,,,,,,,
09/07/2023,5_20,47,5,,,5,2,4,1,,,,,2,,30,,,,,1,,,,1,,,,,,,0,,,,,,,2,,,1,,,,10,,,1,,10,,20,,,1,,,,0,,,,,,,,,,3,,5,,,
09/07/2023,5_35,47,5,0,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,,,,,,,,1,,,3,,,,,,,1,,5,,0,,,,,,,1,,,,,10,,,,,,,5,,,
09/07/2023,5_5,47,5,,,1,2,,,,,,1,1,,,,,,4,2,,,,,,,1,,,,,,,2,,5,,2,,,,,,,1,,,,,,,1,,,3,,,,,,1,,,,,1,,,4,,5,,,
09/07/2023,5_5,47,5,0,,,,,,,,,,2,,,,3,1,,3,,2,,1,,,,,,,,,,4,,,,0,,,,,,,0,,,,,,,,,,,,5,,0,,,,,,,0,,,,,,,,
09/07/2023,5_65,47,5,0,,,,,,,,,,,,4,,,,,5,,,,,,,2,,,,,,,1,,,,,,,3,,10,,,,,,,10,,,,,4,,,,,,,1,,,,,,,1,,,,,
09/07/2023,6_15,47,6,1,,,1,,,,,,,1,,1,,,1,0,2,,,,,,,2,,,,,,,5,,1,,1,,,,,20,,,,,1,,20,,,,,0,,10,,1,,,,,10,,,,,1,,5,,,
09/07/2023,6_2,47,6,3,,,,,,,0,0,0,1,,,,,,,1,,,,,1,,1,,,,0,0,0,0,0,0,0,,,,,,5,,,1,,,,,,,1,,,,5,,0,0,0,0,0,0,0,1,,,,,,,,
09/07/2023,6_30,47,6,,,,1,,,1,,,,1,,10,,,,,,,5,,,,,,,5,,0,,,,,0,,1,,,1,0,20,,,,,1,,5,,,,,4,,5,,,,,,,5,,,,,,,30,,,
09/07/2023,6_45,47,6,,,,1,,,,0,,,,,,,,,,1,,5,,,,,1,,5,,,,,1,,,,,,,,,20,,,,,1,,10,,,,,1,,20,,1,,,,,10,,,,,2,,20,,,
09/07/2023,6_52,47,6,,,,,,,5,,,,,,5,,,,,4,,3,,,,,,,3,,,,,2,,4,,,,,5,,20,,,,,3,,10,,,,,,,5,,1,,,2,,5,,,,,4,,20,,,
3/7/23,7_19,41,7,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,7_2,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,7_30,41,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,7_44,41,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,2,,,,,4,,2,,,5,,,,1,,,,,,,,,,,,,,,
3/7/23,8_20,41,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,8_36,41,8,3,,,,,,,1,,,,,,,2,,,,,,,5,,,,,,,3,,,,,4,,10,,,,,10,,10,,,,,10,,2,,,,,,,3,,,,,,,,,,,,,,,
3/7/23,8_42,41,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,10,,10,,,,,10,,4,,,,,5,,5,,,,,10,,,,,,,,,,
3/7/23,8_49,41,8,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,8_5,41,8,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,4,3,,2,,,,5,2,,,,,,2,,,,,,,,,,,,,,,
3/7/23,9_15,41,9,,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,
3/7/23,9_35,41,9,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,3,,,,,,,3,,,,,,,,,,yes
3/7/23,9_50,41,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,5,,,,,,,10,,,,,,,,,,,,,,,yes
3/7/23,9_64,41,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
3/7/23,9_7,41,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,11_15,41,11,,,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
3/7/23,12_15,41,12,,1,,,,,2,,4,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,4,,,,1,,,,,,,,4,,5,,,,,,,,,,,,,,,,,
3/7/23,12_35,41,12,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,13_15,41,13,,,,,30,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,13_2,41,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,13_35,41,13,,,,,,4,3,,,,,10,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,13_50,41,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/23,13_65,41,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,yes
3/7/23,14_20,41,14,2,,,5,,,,2,,,5,,,,,,,,,,2,,,4,10,,,5,,,,10,,,,1,,4,3,10,,3,2,,,,,3,,,,2,,10,4,,,,3,5,,4,,,,2,,10,,,,
3/7/23,14_36,41,14,,,,,5,10,,,,,,20,,,,,1,1,,,5,,,1,,10,,20,,,,,,,,,,,,,2,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
3/7/23,14_4,41,14,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
3/7/23,14_50,41,14,,,,3,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,3,,,,,5,,5,,,,,,5,,,,,,,,,,
3/7/23,14_66,41,14,,,,2,,3,,,,,3,10,,3,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
2/7/23,15_20,40,15,,,,1,20,,,,,,3,10,,,,,,1,30,,,,,,,10,,,,,,1,,10,,5,,,1,,10,,,,,,,20,,3,,,1,,20,,,,,,,20,,,,,,5,5,,,yes
2/7/23,15_35,40,15,,,,,,,,2,,,1,,,,2,,,1,10,,,,,,,10,,,1,,4,1,20,,,2,,,,10,,,2,,,,,20,,2,,,1,10,20,1,,,5,,20,10,,2,,,,5,20,,yes,yes
2/7/23,15_5,40,15,,4,,1,,,,,5,,1,,,,5,,,2,10,,,,,,1,,,,2,,,1,,,,,,,1,20,10,,3,,,,,,,3,,4,1,20,10,,10,,,,20,20,,,,,,,10,,,yes
2/7/23,15_50,40,15,,,,,,,,,2,,,,5,,,2,,,,10,,,,,1,,10,,,2,,,,,,2,,,,,5,,,2,,,,20,,,1,,,20,30,1,2,,,,3,20,,,,,,,10,,,
2/7/23,16_1,40,16,,,,1,,,,,1,,,,5,,,1,,,,5,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,5,,,,,,,4,,,,,2,,5,,1,,,2,,4,,,
2/7/23,16_15,40,16,,,,,5,,10,,,3,1,,5,4,2,,,1,5,5,,2,3,,,5,5,,2,,,,,5,,5,,,2,,10,,3,,2,2,,,,10,,,2,,30,,10,,5,,10,,,3,,,3,,20,,,yes
2/7/23,16_31,40,16,,,,,5,2,4,,,,,10,,,4,,10,3,30,,,2,,,,5,,,,,5,3,30,,,5,,5,,,20,,10,,,,,20,,,,,2,30,20,,,3,,,5,,,,,3,1,10,10,,,yes
2/7/23,16_45,40,16,,,,10,20,3,,,,,2,,,,,,,1,,,,,,,,,,,,,5,2,20,,,3,,,1,,5,,2,,,2,,5,,,,,,,20,,4,,,2,,10,,10,,,,,,,,yes
2/7/23,16_60,40,16,,,,1,,,4,3,,,1,,,,,,,,,10,,2,,,1,,10,,,,,,,10,,,1,,,,10,,,,5,,30,10,,3,,,,,20,,3,,,,,5,,4,,,1,,20,,,yes
2/7/23,17_20,40,17,,,5,5,30,,,1,,,5,30,,,,,5,5,20,,,,,,2,10,,,,,,4,10,,,10,,,1,,20,,,,,1,,,,10,,,1,,10,,4,,,1,,,,5,,,1,,30,,,yes
2/7/23,17_35,40,17,,,2,2,5,,,1,,5,1,,3,,1,1,,3,,4,,,,5,10,20,,,1,,10,1,20,,,3,,10,,20,,,10,,,1,20,,,5,1,5,1,10,30,,3,,,1,5,10,,3,,5,,10,3,5,,
2/7/23,17_5,40,17,,,,1,5,,,5,,,1,20,10,,,,,,30,20,,,,,1,5,4,,,,,,,,,20,2,,,5,20,,10,,,,,20,,10,,,,10,5,,20,2,,2,10,20,,20,,,1,,20,,,yes
2/7/23,17_50,40,17,,,,,4,,,,,,,5,10,,,,,1,,4,,,,,1,,5,,1,,,,,5,,,,,2,,4,,2,,,1,,5,,,,,,,30,,,,,1,,30,,,,,,,30,,,
2/7/23,18_20,40,18,,,10,,20,,,,,10,,10,,,,,10,,20,,,,,5,1,5,,,5,,5,,5,,,2,3,,,5,,,3,,,,,5,,,,5,2,5,,,,,4,,,,1,2,1,5,1,,20,,,
2/7/23,18_35,40,18,,,30,,30,,,,,20,1,30,,,,,30,,30,,,,,30,,30,,,,,30,1,30,,1,5,,,,,3,,3,,5,1,10,,,,,10,,30,,,,,20,,30,,,3,,5,,20,,,,yes
2/7/23,18_5,40,18,,,2,,10,,,,,5,,5,3,,2,,5,1,10,,1,,,,,4,,,,,,1,10,,,3,,,,10,20,,5,,,,10,30,,2,,,1,5,,,1,2,,,,,,,4,,,5,,,,yes
2/7/23,18_50,40,18,,,,,,,,,,,,,,,,,,,10,,,,,10,1,20,,,,,,1,20,,,3,,4,,10,,,5,,5,1,20,,,4,,10,1,20,5,2,,,10,,20,,,2,,5,,,,,,yes
2/7/23,18_65,40,18,,,20,1,30,2,,,,5,1,20,,,,,,,,,,,,,,,,,,,5,1,20,,,,,,,,,,,,,,20,,,,,,,10,,,,,,,,5,,3,,,,,4,,,yes
2/7/23,19_20,40,19,,,,1,,,,,,5,,5,4,1,,,,,30,,,,,5,,30,,,,,5,,10,,,,,3,,,,,,,10,2,30,,,,,5,1,20,,1,1,,4,1,10,,,,1,,,5,,,,yes
2/7/23,19_35,40,19,,,20,,30,,,1,,10,1,30,,,2,,5,,5,,,,,10,2,20,,,,,20,,30,,,1,,10,,10,,,,,10,,30,,5,4,,4,1,5,,,30,,5,,,30,,,,10,,10,,2,,yes
2/7/23,19_47,40,19,,,,2,,,,1,,,,5,5,,,,,,20,,,,,3,3,10,,,,,,1,10,,,,,2,1,10,,,1,,,1,,,,2,,2,,30,30,,,,5,,10,,,,,5,1,20,,,,
2/7/23,19_5,40,19,,,,,,,1,,2,,,,2,,,,,,,,,,2,,,30,,,,1,,,30,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,
2/7/23,19_60,40,19,,,1,1,5,,,,,1,,5,,,,,,,,,,1,,,,10,,,1,,,,10,,,2,,1,,,,,,,,,,,,1,,1,,,,,,,,1,4,,,1,,5,,10,,,,yes
2/7/23,20_1,40,20,0,0,0,0,0,0,0,0,0,2,4,30,5,4,,,,,,,,,,,,5,5,,,,,,,,,,,,1,,,,,,2,,4,,,,,,1,,,,,,2,,,,,1,,,,,,,,
2/7/23,20_10,40,20,,,,,,,,,,4,1,30,,,,,,1,30,,,,,,5,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,20,,30,,,,,5,,20,,,yes,yes
2/7/23,20_20,40,20,,,,2,30,,,,,5,5,30,,,,,,,,,,,,10,2,30,,,,,,,5,,,,,,,,,,1,,,,,20,,,,2,1,5,,,,,,,,,,,,4,,20,,,,yes
2/7/23,20_30,40,20,,,,,,,,,,4,2,5,,,,,3,1,30,,2,,,2,,30,,,,,2,1,5,,,,,,2,,,,,,,,,,,,,,,20,,2,,,,,10,,,,,,3,10,,,yes,yes
2/7/23,20_50,40,20,,,,2,30,,,,,,1,20,,,,,,2,20,,1,,,,,10,,,,,,,,,,1,,2,2,5,,,5,,2,1,5,30,,4,,3,2,10,5,,,,10,10,20,,,2,,,,,20,,,yes
2/7/23,20_60,40,20,,,,2,20,1,,,,,,10,,1,,,,1,30,,1,,,,2,30,,1,,,,1,20,,,,,,,,,,,,,,5,,1,,,,2,20,,,,,,1,10,,,,,,,5,5,,,yes